text,bdate,sex,topic,tone,age
Скиньте мне инструкцию. Не могу ответить никому. Да и перестали со мной дружить.😉😆,23.3.1999,2,science,positive,25
Гениально!,5.3.1991,2,science,positive,33
"Ну тут скорее: ""Он сам все сделает, а я пока фигней пострадаю"". Либо же: ""Пусть он выполнит больше работы за меня, пока я буду отдыхать"".",11.8.1999,2,science,positive,24
"Главное: Показать сопернику, что ты настроен серьёзно☝",11.8.1999,2,science,positive,24
Новый вид единоборств 😁,3.9.1995,2,science,positive,28
